"date","p_10145","p_11308","p_11703","p_11850","p_12060","p_12490","p_13856","p_13901","p_13928","p_14277","p_14541","p_15579","p_17005","p_17144","p_17750","p_17830","p_18163","p_18411","p_18542","p_18729","p_19393","p_19502","p_19561","p_20482","p_21178","p_21776","p_21936","p_22103","p_22111","p_22293","p_22592","p_22752","p_22779","p_23819","p_24205","p_25785","p_26403","p_27828","p_27887","p_27959","p_28310","p_34833","p_38703","p_43449","p_44644","p_45356","p_47896","p_48725","p_49154","p_49656"
197001,-0.035897,-0.036474,-0.07619,-0.087045,-0.066129,-0.080247,0.002381,-0.062937,-0.116062,-0.084948,-0.0978,-0.051102,0.041071,-0.040143,-0.134069,-0.16242,0.019635,-0.022549,-0.137059,-0.026404,-0.13,-0.024155,-0.178667,-0.042157,0.007246,-0.052083,-0.013301,-0.062241,-0.122222,-0.142927,-0.084379,-0.106195,-0.005545,-0.081218,-0.016575,-0.079635,0.057836,-0.026699,0.008439,-0.110169,0,-0.169231,-0.174825,-0.11437,0.051672,-0.284091,-0.052083,-0.099174,-0.054348,-0.041667
197002,0.012766,0.045741,0.023196,-0.022581,-0.025907,0.018494,0.014252,0.026119,0.130952,-0.019544,0.044986,0.069694,0.072414,0.059925,0.080146,0.161977,-0.015766,0.081218,0.092784,-0.002907,0.042912,0.00495,0.086957,0.035959,-0.079137,0.072967,0.094608,0.128319,0.010601,0.072779,0.090286,0.079208,-0.04461,0.049724,0.071161,0.137584,0.041446,-0.004988,0.100418,0.00381,-0.047809,0.111111,0.137288,0.195364,0.075145,-0.015873,0.149451,0.137615,-0.019157,0.17033
197003,0.010638,-0.02733,-0.010204,0.060185,0.055319,-0.005143,-0.002342,0.003636,-0.015789,-0.119934,-0.063158,-0.052715,-0.016077,-0.031802,-0.01113,-0.046358,-0.002288,0.028169,0.103774,0.002915,-0.097786,-0.049751,-0.09,-0.031405,-0.070313,0.010417,-0.058427,-0.011811,-0.030588,-0.053953,-0.041284,-0.059633,-0.026265,-0.181316,0.040493,0.079646,-0.000339,-0.110777,-0.041065,0.024038,-0.046025,-0.011111,-0.037594,-0.102493,-0.115591,-0.048387,-0.00153,-0.040323,0.035294,-0.075117
197004,-0.136842,-0.080997,0.123711,-0.063319,-0.033898,-0.119645,-0.117925,-0.083942,-0.101604,-0.134725,-0.061798,-0.105428,-0.143791,-0.114015,-0.037801,-0.166667,-0.079587,-0.148858,-0.118519,-0.102907,-0.09816,-0.198953,-0.131868,-0.054266,-0.151261,-0.07732,-0.069212,-0.09761,-0.074434,-0.050963,-0.102871,-0.07598,-0.271271,-0.090615,-0.130288,-0.057923,-0.125424,-0.073446,-0.142857,-0.093897,-0.135965,-0.107955,-0.039063,-0.098765,-0.197568,-0.355932,-0.11412,-0.093484,-0.143939,-0.091371
197005,-0.021951,-0.035593,0.075688,0.075058,-0.068421,-0.063087,-0.053476,0.091633,0.229762,0.063596,0.058683,-0.239207,-0.03263,-0.124481,-0.071429,0.010833,-0.016311,-0.070652,-0.087948,-0.098039,-0.069388,-0.124183,-0.070886,-0.097826,-0.287129,-0.031955,-0.057692,-0.094923,-0.085734,-0.075179,-0.094,-0.108753,0.002747,-0.096085,-0.108949,-0.008824,-0.100775,-0.295732,-0.041667,-0.026943,-0.058533,-0.076433,-0.071545,-0.109589,-0.113636,-0.078947,-0.082969,-0.09375,-0.172566,-0.028249
197006,-0.139241,-0.019543,-0.018319,-0.035242,0.026742,-0.100719,0.00565,0.065693,-0.029412,0.059381,-0.074713,-0.094172,-0.047619,-0.014218,-0.044615,-0.138075,-0.040816,-0.099415,-0.010714,-0.054348,-0.019608,-0.030303,-0.315068,-0.012048,-0.138889,-0.076471,-0.011429,0.002451,0.071839,-0.18129,-0.106509,0.043155,-0.265205,0.098819,-0.004405,0.041543,0.0125,-0.186147,-0.114976,-0.113514,0.063889,-0.192138,0.053097,0.026923,0.004274,-0.228571,0.081429,-0.113793,0.021505,0.014535
197007,0.102941,0.048649,0.075741,0.13242,0.138889,0.0138,0.084746,0.089655,0.080808,0.174168,0.093168,-0.067912,0.11875,0.066154,0.04878,0.184466,0.11383,0.087013,-0.045487,0.182375,0.105,-0.007813,0.088,0.032927,0.032258,0.031847,0,0.056235,0.058981,-0.006329,0.069536,-0.070301,0.191011,0.086643,0.117257,0.039316,-0.124601,-0.042553,0,0.097561,0.08094,0.131579,0.07563,0.086142,0.089362,0.148148,0.060134,0.063241,0.042105,0.037249
197008,0.189333,-0.013746,0.032653,0.077016,0.021138,0.0555,-0.083333,-0.012658,0.030841,0.026667,0.095455,0.102004,0.026217,-0.013636,-0.023256,0.145902,0.002404,0.121212,0.019084,0.009804,0.032579,0.204724,0.194444,-0.013834,0.375,0.032593,0.095436,-0.013889,-0.01357,0.084395,0.093653,-0.012346,0.172956,0.063455,0.033663,0.094444,0.017762,0.172222,0.092896,-0.017778,0.072464,0.03876,0.05,-0.02069,0.089844,-0.032258,0.016807,0.066914,0.020202,0.053073
197009,-0.107955,0.043345,-0.050898,0.017078,0.083121,0.095775,0.071023,0.032051,0.09633,-0.019805,-0.039474,-0.008926,0.051095,0.115207,0.001587,0.057971,0.014388,-0.064865,0.067416,0.02589,0.026432,0.006623,0.054264,0.09018,0.045455,-0.012195,0.05,0.082547,0.084833,-0.003671,0.00569,0.1125,0.005898,0.018868,-0.032819,0.050761,0.12799,0.027488,-0.039,-0.005747,-0.018018,0.19403,0.022556,0.211268,0.086022,0.533333,-0.003719,0.219512,-0.004975,-0.071618
197010,-0.070064,0.057047,-0.014721,0.037313,0.019259,0.011825,-0.005333,0.1,-0.043515,0.074875,0.054795,-0.043478,0.032986,0.048595,0.016,-0.089041,0.039716,0.003006,-0.023158,0.033438,0.009442,0.006579,-0.141176,0.022426,-0.195652,-0.037154,0.018116,0.026144,0.075829,0.002959,0.001414,-0.011299,0.005348,-0.040123,0.003992,-0.027053,0.022269,-0.018519,-0.026042,0.00578,0,-0.025316,-0.000735,-0.008721,0.092409,-0.206522,-0.033543,-0.028902,0.04,-0.06
