"date","p_10516","p_11404","p_11762","p_12052","p_12431","p_12570","p_13688","p_15069","p_15720","p_16600","p_16678","p_17478","p_18403","p_19350","p_21207","p_21573","p_22509","p_22517","p_23026","p_23579","p_23712","p_23931","p_24010","p_24109","p_24643","p_24766","p_24942","p_25320","p_25953","p_26710","p_26825","p_28222","p_28388","p_28484","p_34032","p_34817","p_38156","p_39490","p_39642","p_39917","p_40416","p_40539","p_43553","p_45751","p_46578","p_47941","p_48506","p_48653","p_49015","p_49680"
197001,-0.044643,0.058824,-0.135168,-0.058559,0.060498,-0.075949,-0.099237,-0.014815,-0.145228,-0.045455,-0.054867,-0.157895,-0.060914,-0.089855,-0.043307,-0.114478,-0.140845,-0.045685,-0.101523,-0.191388,-0.079812,-0.005464,-0.068966,-0.078838,-0.085965,-0.239437,-0.18626,-0.037895,-0.102639,-0.152444,0.018293,-0.113924,-0.125984,-0.078838,-0.086316,-0.0625,-0.232143,0.185185,-0.132898,-0.133951,-0.078717,0,-0.051181,-0.049261,-0.15625,-0.076271,-0.008547,0.048387,-0.007586,-0.092167
197002,0.114953,0.035185,0.053571,0.057416,0.127517,0.08242,0.059322,0.138346,0.169903,0.001058,0.175355,-0.03125,0.092391,0.073248,0.062058,0.117871,0.109836,0.111702,0.102147,0.029586,0.077959,0.098901,0.08642,0.10036,0.13167,0.180556,0.075472,0.051471,0.056863,0.141732,0.04012,0.192643,-0.009009,-0.108108,0.028846,0.066667,0.232558,0.026042,0.147236,0.290323,0.088608,0.131944,-0.062241,0.145078,0.15,0.009174,-0.040517,-0.2,0.094406,0.139535
197003,-0.021097,0.009091,0.033898,-0.118721,0.036145,-0.091102,0.036,0.003356,0.091286,0.101604,-0.008065,0.001075,-0.037313,0.066066,0.046875,-0.027491,-0.089552,-0.013397,0,0.131034,0.009615,0.036,0.101818,0.033195,-0.035836,-0.011858,-0.017544,-0.013986,0.018634,-0.124138,0.023256,0.067278,0.118182,0.038384,0.121495,-0.0625,-0.084906,-0.149746,-0.063596,0.113889,-0.034985,-0.09816,0.088496,-0.054545,0.032609,-0.068364,-0.042889,0.149038,0.011182,-0.085878
197004,-0.077586,-0.040541,-0.151475,-0.139896,-0.075581,-0.100233,-0.101563,-0.056856,-0.103846,-0.029126,-0.009756,-0.156757,-0.036176,-0.188732,-0.048507,-0.038869,-0.077869,-0.073892,-0.0625,-0.133333,-0.095238,-0.053922,-0.161458,-0.096386,-0.084956,-0.328,-0.186607,-0.148227,0,-0.274541,-0.053977,-0.060172,-0.211382,-0.117073,-0.209778,-0.2,-0.21134,-0.203593,-0.096019,-0.068329,-0.07855,-0.340136,-0.069672,-0.180288,-0.121053,-0.098039,-0.148585,-0.217573,-0.092259,-0.230769
197005,-0.098131,-0.113387,-0.171875,0.066265,-0.110063,-0.186269,-0.078261,-0.032624,-0.090129,-0.029,-0.062241,-0.24359,-0.107817,-0.097222,-0.10949,-0.055147,-0.054222,-0.026596,-0.010667,-0.118343,-0.014316,-0.025907,0.062112,-0.0432,-0.169052,0.125,-0.104972,-0.147059,-0.193902,-0.076087,-0.073874,-0.097561,-0.154639,0.099448,-0.045775,0.083333,-0.006536,-0.18797,-0.111399,0.024194,-0.012787,-0.041237,-0.110132,-0.020528,-0.012121,-0.086957,0.014958,-0.192513,-0.152364,-0.011765
197006,0.036649,-0.005405,-0.113208,-0.217143,-0.032258,-0.115385,-0.116739,-0.067164,-0.117925,-0.020833,-0.061947,-0.19322,-0.009063,-0.09375,-0.093333,-0.03937,-0.085714,-0.080874,-0.085714,0.10604,-0.076087,-0.024468,-0.012164,-0.169811,-0.051643,-0.262032,-0.024691,0.024631,0.003802,-0.070588,0.029508,0.041892,-0.060976,0.105276,0.00738,-0.230769,-0.032895,-0.106481,-0.18484,-0.086614,-0.061667,0,-0.089109,0.048193,0.165644,-0.113333,-0.046703,-0.019868,0.041322,-0.065476
197007,0.080808,0.016304,0.16383,0.138686,0.1,0.126812,0.152174,-0.004,0.211957,0.079787,0.106604,0.202128,0.009146,0.043103,0.058824,0.131148,0.052083,0.024242,0.01875,-0.02454,0.041176,0.061111,0.095808,0.125,0,0.021739,-0.081013,0.082692,0.113636,0.159916,0.10828,0.055195,0.038961,0.205607,0.049377,0,0.414966,0.052083,-0.053763,0.102299,-0.05151,0.064516,0.186813,-0.01954,0.021053,0.25,0.129683,-0.121622,0.102381,0.05172
197008,0.028037,0.008556,0.106481,-0.083333,0.023569,0.077492,0.075472,0.035341,-0.013453,-0.003941,0.146552,0.143363,0.072948,0.028926,-0.036667,0.068841,0.122772,0.035503,0.12319,0.069182,0.058079,-0.031414,0.038251,0.06202,0.023762,0.106383,0.055556,-0.03139,-0.008844,0.098361,-0.087356,0.110769,0.225,0.135659,0.146853,0.15,0.043269,0.069307,0.108333,0.089005,0.024719,0.010101,0.111111,0.029499,0,0.086486,-0.078061,-0.023077,-0.028986,0.037037
197009,0.266055,0,0.037657,0.034965,0.023333,0.06006,0.013158,0.023715,-0.031818,-0.01,-0.037594,-0.03125,0.09915,0.159184,-0.014563,-0.023973,-0.017857,-0.027596,-0.05,0.075294,-0.005281,0.029189,-0.047789,-0.048309,-0.02439,0.12987,0.302632,0.023148,0.103448,0.124378,0.070064,0.031579,0.22449,0.03959,0.082317,0.086957,0.059908,0.199074,0.044521,0.028846,0.111927,0.13,0.108333,0.12894,0.177083,0.044577,0.072423,0.496063,0.018657,0.115238
197010,0.028986,-0.010811,-0.020968,0.027027,-0.019544,-0.033994,-0.052632,-0.062548,0.019048,0.010101,0.045313,0.048387,-0.020619,0.028169,0.019704,-0.05614,0.054545,0.006024,0,-0.104972,0.038462,-0.04284,0.044693,0.015228,0.06,-0.16092,-0.135354,0.046154,-0.0625,0.026549,-0.059524,-0.018817,0.033333,0.157895,-0.074479,-0.12,0.008696,-0.170543,-0.016393,-0.024299,0.039604,-0.00885,0.037879,-0.035025,0.00885,0.057416,-0.033766,-0.236842,-0.073993,-0.130435
197011,-0.06338,0.025137,0.15,-0.072368,0.053156,0.077126,0.171296,-0.02521,0.093458,0.026,0.026415,-0.036923,0.121693,0.041096,-0.018937,-0.033457,0.046552,0.101796,0.140819,0.080247,0.107302,0.11236,0.085561,0.137,0.008491,0.219178,0.052941,0.048035,0.001667,0.126087,0.037975,-0.013699,0.201613,0.011364,0.073171,-0.090909,0.172414,0.009346,-0.053333,0.021635,0.01619,-0.0625,-0.029197,0.031746,0.181416,0.085973,0.119355,0.034483,0.031873,0.025
197012,-0.015152,0.163043,0.028986,0.085106,0.153355,0.109589,0.106719,0.125,0.111111,0.024631,0.095588,0.209677,0.033019,0.093333,0.084577,0.097276,0.1375,0.044565,0.046875,0.136,0.087379,0.09798,0.05931,0.017857,0.080189,0.068182,0.22905,0.079167,0.110368,0.07722,0.185185,0.053889,0.100671,0.057865,0.045455,-0.05,-0.011029,0.00463,0.069014,0.077647,0.109718,0.2,0.173684,0.103077,0.086142,0.137333,0.01699,-0.006667,0.042471,0.158537
197101,0.05,0.065421,0.091549,0.385621,0.047091,0.08642,-0.032491,0.011494,0.050584,0.149038,0.022148,0.046667,0.109589,0.109756,0.06422,0.08156,0.032967,0.058201,0.024876,0.142132,0.004464,0.042056,-0.018779,0.070175,0.148472,0.12766,0.173636,0.020077,0.048193,0.114695,-0.010417,0.063325,0.060976,0.034574,0.115652,0.263158,0.085502,0.166667,0.115512,0.00786,0.022599,0.111111,0.093548,0.10514,-0.027586,0.058824,0.064439,0.120805,0.177778,0.048211
197102,0.212454,-0.076379,0.028387,0.018868,0.047619,0.0075,-0.052239,-0.027273,-0.051852,0.013389,0.046358,0.11465,0.039256,-0.049451,-0.021207,-0.029508,-0.053901,-0.015,0.010097,0.013333,-0.016533,-0.026906,-0.057416,-0.027049,-0.019772,-0.04717,0.089494,-0.007634,0.038793,0.032362,0.094737,0.023524,0.057471,0.048843,-0.009756,0.041667,0.05137,0.047619,0.001775,0.008696,0.011326,0.114286,0.020649,0.012685,0.064286,0.0625,-0.008072,0.203593,0.006329,0.097436
197103,0.094225,0.043689,-0.060127,-0.115741,0.038265,0.070295,0.068031,0.047619,0.054687,-0.004167,0.082278,-0.050286,0.013917,0.002924,0.208889,0.006826,0.064394,0.031472,0.004878,-0.000877,0.055046,0.066359,0.071269,0.038462,-0.023438,-0.1,0.139286,-0.030769,-0.016667,0.166144,0.004854,0.094059,0.168478,0.138725,0.12069,0,0.140065,-0.034091,-0.008876,-0.019397,0.060274,-0.00641,0.173988,0.023382,0.053691,0.16,0.090909,0.20398,-0.012579,0.117196
197104,-0.077778,0.013953,0.154209,0.267016,0.02457,0.101695,-0.097015,0.05303,-0.05618,-0.012552,0.007602,0.078788,0.119608,-0.026239,0.058824,0.067797,0.074021,-0.04,-0.092233,-0.013274,-0.017391,-0.048246,-0.095694,-0.057613,0.04,0.027778,0.144828,0.016667,0.053672,-0.005376,0.082126,-0.00362,0.013953,0.137931,0.042989,0.2,0.028571,0,0,-0.029451,0.020672,0.080645,0.00495,0.151639,-0.006369,0.062147,-0.033333,0.012397,0.015924,-0.051064
197105,0.072289,-0.066055,-0.023529,-0.045455,0.074341,-0.030192,0.008264,-0.029496,-0.047619,-0.007627,-0.04386,-0.038202,-0.036907,0.11976,-0.003194,-0.025397,-0.043478,-0.041667,0.016471,0.06278,-0.043009,-0.059908,0.010582,-0.024454,0.055,-0.086486,-0.134615,0,0.049598,0.092391,-0.040179,-0.029545,-0.055046,-0.043561,-0.037975,-0.133333,-0.005556,-0.094488,-0.101493,-0.043182,0.017215,0.071642,-0.061576,-0.039146,0.096774,0.011968,-0.028879,-0.044898,-0.05836,0.008969
197106,-0.022599,0.035,-0.039157,-0.064935,0.036036,-0.007968,0.099508,-0.003774,0.145833,0.034483,0.027523,-0.070588,-0.054745,-0.054054,-0.045614,-0.075658,-0.087413,0.017391,0.005348,-0.02616,0.056338,0.026471,0.099686,0.045455,-0.097248,-0.071856,0,0.086614,0.010256,0.079602,-0.079812,0.025761,-0.067961,0.145941,0.032895,-0.076923,-0.069832,0.021739,-0.074419,-0.016627,0.102372,-0.116992,-0.049344,-0.025556,0.064706,-0.017188,0.026786,-0.051282,0.043551,0.035556
197107,-0.106936,0.004831,-0.085266,-0.148148,-0.113043,-0.004016,-0.011321,-0.147727,-0.033088,0.0125,-0.200595,-0.14557,-0.030888,0.005714,-0.066176,-0.081851,0.095785,0,-0.021277,-0.052402,-0.048889,0,-0.081731,-0.043478,-0.154472,-0.012903,-0.126349,0.007971,0.015228,-0.048387,0,-0.063014,-0.057292,-0.097518,-0.000934,0.125,-0.093093,-0.136752,-0.07554,0.023188,-0.130238,-0.116719,-0.038889,-0.013359,0.016575,0.08311,-0.065217,-0.072072,0.009631,-0.080515
197108,0.003236,-0.006731,0.204152,0.005435,0.127451,-0.049798,-0.09542,0.160889,-0.114068,-0.126749,-0.041353,0.127407,0.112,0.110795,0.000315,0.081395,0.128671,-0.01087,-0.01587,0.115207,-0.026729,0.009709,-0.068063,-0.016342,0.051923,-0.071895,0.065693,-0.094203,0.06625,0.024331,0.010204,0.1,0.138122,-0.157171,0.055319,0,0.238411,0.118812,0.019455,0,-0.020052,0.1,0.086705,0.03675,0.071038,0.094059,0.045581,0.038835,0.0464,0.066667
197109,0.032468,-0.039409,-0.051724,-0.054054,0.015351,-0.053305,-0.003038,-0.081395,0.017167,0.033333,0.043137,-0.013245,-0.003597,-0.023256,-0.115079,-0.050725,0.06875,0.056044,0.005618,0.061157,0,-0.002885,0.022697,-0.014151,-0.16129,0.057143,0.013699,-0.032,0.035294,-0.064133,0.02551,-0.059867,0.097087,0.010723,0.100806,0.148148,-0.005348,0.013274,0.055725,-0.040284,0.050667,0.032468,0.040426,-0.033209,0.028061,0.033846,0.055928,-0.037383,0.012232,0.00625
197110,-0.009434,0.069744,0.015152,-0.108571,-0.138229,-0.094595,0.030043,-0.070886,-0.055556,0.032258,-0.140602,-0.026846,-0.021661,-0.111111,-0.139013,0.007634,-0.023392,-0.010582,0.055866,-0.129412,0.014634,0.02451,0.066667,0.07177,-0.032967,-0.040541,-0.104054,-0.04876,-0.068182,-0.104061,-0.024876,-0.040094,-0.110619,-0.187067,0.015678,0,-0.086022,-0.087719,-0.061594,-0.072593,-0.017766,-0.006289,-0.010283,-0.011628,0,-0.035088,0.016949,-0.15534,-0.018127,0.104072
197111,-0.034921,-0.014634,-0.039403,0.064103,0.06015,0.059701,-0.0125,-0.004608,-0.036199,-0.025893,-0.022124,-0.046897,-0.007407,0.047619,0.036875,-0.034091,-0.069461,0.010695,-0.020741,-0.027027,-0.003462,0.004785,-0.057292,0.00625,-0.077841,0.028169,0.07197,-0.017544,-0.020732,-0.02849,0.102041,-0.046683,0.014925,-0.079545,-0.028881,-0.032258,-0.126471,-0.038462,-0.127413,-0.032086,0.018863,-0.056962,0.05974,-0.090196,0.062344,-0.054545,-0.007083,-0.086207,0.052632,-0.102459
197112,-0.02649,0.024752,0.047022,0.048193,0.073986,0.101831,0.106667,0.12037,0.122629,0.037037,0.176471,0.109489,0.089552,0.178161,0.152284,0.111111,0.149351,0.075132,0.076923,0.137963,0.078431,0.054286,0.105525,0.094595,0.087227,0.201389,0.116608,0.071429,0.13,0.087977,0.009346,0.093814,0.098039,0.032716,0.167286,-0.033333,0.144781,0.155,0.223894,0.022099,0.021628,-0.016779,0.044608,0.133621,0.122066,0.108077,0.152542,0.27044,-0.001471,0.009132
197201,-0.044218,0.046377,0.098802,0.350575,-0.011111,0.094218,-0.054054,0.075207,-0.016949,-0.008929,-0.005385,0,-0.064932,0.046341,0.026432,-0.025,-0.028249,0,-0.05102,0.204918,-0.022727,0.027523,-0.035354,0.020576,-0.015473,0.132948,0.117722,0.0175,-0.030973,0.059515,-0.092593,0.153302,0,-0.026946,-0.030828,0.034483,0.041176,0.217391,0.155797,-0.030811,0.013699,-0.044369,0.004717,-0.037643,0.012552,0.086957,0.022059,-0.034653,0.004654,0.031674
197202,-0.067616,-0.018779,-0.022343,0.004255,0.065528,0.004658,-0.057143,0.027237,-0.064655,-0.044144,-0.074219,-0.131579,0.077206,0.114219,0.103348,0.025641,0.095349,0.025,0.027312,-0.05102,-0.040558,-0.03125,-0.073298,-0.03,0.158824,-0.010204,-0.034091,-0.07438,0.040091,0.120205,0.071429,0.082577,0.129464,0.172308,0.013158,0.133333,0.096045,0.057143,-0.028213,0.109244,0.120025,-0.085714,0.051643,-0.005952,0.107884,0.136,0.03705,0.087179,-0.029499,-0.004505
